name,description
1GL,1GL—First-Generation Programming Language
1NF,1NF—First Normal Form
10B2,10B2—10BASE-2
10B5,10B5—10BASE-5
10B-F,10B-F—10BASE-F
10B-FB,10B-FB—10BASE-FB
10B-FL,10B-FL—10BASE-FL
10B-FP,10B-FP—10BASE-FP
10B-T,10B-T—10BASE-T
100B-FX,100B-FX—100BASE-FX
100B-TX,100B-TX—100BASE-TX
100BVG,100BVG—100BASE-VG
286,286—Intel 80286 processor
2B1Q,2B1Q—2 Binary 1 Quaternary
2FA,2FA—Two-factor authentication
2GL,2GL—Second-Generation Programming Language
2NF,2NF—Second Normal Form
3GL,3GL—Third-Generation Programming Language
3GPP,3GPP—3rd Generation Partnership Project-'3G comms
3GPP2,3GPP2—3rd Generation Partnership Project 2
3NF,3NF—Third Normal Form
386,386—Intel 80386 processor
486,486—Intel 80486 processor
4B5B,4B5BLF—4 Byte 5 Byte Local Fiber
4GL,4GL—Fourth-Generation Programming Language
4NF,4NF—Fourth Normal Form
5GL,5GL—Fifth-Generation Programming Language
5NF,5NF—Fifth Normal Form
6NF,6NF—Sixth Normal Form
8B10BLF,8B10BLF—8 Byte 10 Byte Local Fiber
802.11,802.11—Wireless LAN
AAA,AAA—Authentication Authorization Accounting
AABB,AABB—Axis Aligned Bounding Box
AAC,AAC—Advanced Audio Coding
AAL,AAL—ATM Adaptation Layer
AALC,AALC—ATM Adaptation Layer Connection
AARP,AARP—AppleTalk Address Resolution Protocol
ABAC,ABAC—Attribute-Based Access Control
ABCL,ABCL—Actor-Based Concurrent Language
ABI,ABI—Application Binary Interface
ABM,ABM—Asynchronous Balanced Mode
ABR,ABR—Area Border Router
ABR,ABR—Auto Baud-Rate detection
ABR,ABR—Available Bitrate
ABR,ABR—Average Bitrate
AC,AC—Acoustic Coupler
AC,AC—Alternating Current
ACD,ACD—Automatic Call Distributor
ACE,ACE—Advanced Computing Environment
ACID,ACID—Atomicity Consistency Isolation Durability
ACK,ACK—ACKnowledgement
ACK,ACK—Amsterdam Compiler Kit
ACL,ACL—Access Control List
ACL,ACL—Active Current Loop
ACM,ACM—Association for Computing Machinery
ACME,ACME—Automated Classification of Medical Entities
ACP,ACP—Airline Control Program
ACPI,ACPI—Advanced Configuration and Power Interface
ACR,ACR—Allowed Cell Rate
ACR,ACR—Attenuation to Crosstalk Ratio
AD,AD—Active Directory
AD,AD—Administrative Domain
ADC,ADC—Analog-to-Digital Converter
ADC,ADC—Apple Display Connector
ADB,ADB—Apple Desktop Bus
ADCCP,ADCCP—Advanced Data Communications Control Procedures
ADO,ADO—ActiveX Data Objects
ADSL,ADSL—Asymmetric Digital Subscriber Line
ADT,ADT—Abstract Data Type
AE,AE—Adaptive Equalizer
AES,AES—Advanced Encryption Standard
AF,AF—Anisotropic Filtering
AFP,AFP—Apple Filing Protocol
AGP,AGP—Accelerated Graphics Port
AH,AH—Active Hub
AI,AI—Artificial Intelligence
AIX,AIX—Advanced Interactive eXecutive
Ajax,Ajax—Asynchronous JavaScript and XML
AL,AL—Active Link
AL,AL—Access List
ALAC,ALAC—Apple Lossless Audio Codec
ALGOL,ALGOL—Algorithmic Language
ALSA,ALSA—Advanced Linux Sound Architecture
ALU,ALU—Arithmetic and Logical Unit
AM,AM—Access Method
AM,AM—Active Matrix
AMOLED,AMOLED—Active-Matrix Organic Light-Emitting Diode
AM,AM—Active Monitor
AM,AM—Allied Mastercomputer
AM,AM—Amplitude Modulation
AMD,AMD—Advanced Micro Devices
AMQP,AMQP—Advanced Message Queuing Protocol
AMR,AMR—Audio Modem Riser
ANN,ANN—Artificial Neural Network
ANSI,ANSI—American National Standards Institute
ANT,ANT—Another Neat Tool
AoE,AoE—ATA over Ethernet
AOP,AOP—Aspect-Oriented Programming
