,paragraph,split_paragraph
0,"In object-oriented programming, a class is an extensible program-code-template for creating objects, providing initial values for state member variables and implementations of behavior member functions or methods.12 In many languages, the class name is used as the name for the class the template itself, the name for the default constructor of the class a subroutine that creates objects, and as the type of objects generated by instantiating the class; these distinct concepts are easily conflated.2 Although, to the point of conflation, one could argue that is a feature inherent in a language because of its polymorphic nature and why these languages are so powerful, dynamic and adaptable for use compared to languages without polymorphism present. Thus they can model dynamic systems i.e. the real world, machine learning, AI more easily.","['object', 'orient', 'programming', 'class', 'extensible', 'program', 'code', 'template', 'create', 'object', 'provide', 'initial', 'value', 'state', 'member', 'variable', 'implementation', 'behavior', 'member', 'function', 'methods', 'language', 'class', 'class', 'template', 'default', 'constructor', 'class', 'subroutine', 'create', 'object', 'type', 'object', 'generate', 'instantiate', 'class', 'distinct', 'concept', 'easily', 'conflated', 'point', 'conflation', 'argue', 'feature', 'inherent', 'language', 'polymorphic', 'nature', 'language', 'powerful', 'dynamic', 'adaptable', 'use', 'compare', 'language', 'polymorphism', 'present', 'model', 'dynamic', 'system', 'i.e.', 'real', 'world', 'machine', 'learning', 'easily']"
1,"When an object is created by a constructor of the class, the resulting object is called an instance of the class, and the member variables specific to the object are called instance variables, to contrast with the class variables shared across the class.","['object', 'create', 'constructor', 'class', 'result', 'object', 'call', 'instance', 'class', 'member', 'variable', 'specific', 'object', 'call', 'instance', 'variable', 'contrast', 'class', 'variable', 'share', 'class']"
2,"In certain languages, classes are, as a matter of fact, only a compile-time feature new classes cannot be declared at run-time, while in other languages classes are first-class citizens, and are generally themselves objects typically of type .mw-parser-output .monospacedfont-family:monospace,monospaceClass or similar. In these languages, a class that creates classes within itself is called a metaclass.","['certain', 'language', 'class', 'matter', 'fact', 'compile', 'time', 'feature', 'new', 'class', 'declare', 'run', 'time', 'language', 'class', 'class', 'citizen', 'generally', 'object', 'typically', 'type', '.mw', 'parser', 'output', '.monospacedfont', 'family', 'monospace', 'monospaceclass', 'similar', 'language', 'class', 'create', 'class', 'call', 'metaclass']"
3,"In its most casual usage, people often refer to the ""class"" of an object, but narrowly speaking objects have type: the interface, namely the types of member variables, the signatures of member functions methods, and properties these satisfy. At the same time, a class has an implementation specifically the implementation of the methods, and can create objects of a given type, with a given implementation.3 In the terms of type theory, a class is an implementation‍—‌a concrete data structure and collection of subroutines‍—‌while a type is an interface. Different concrete classes can produce objects of the same abstract type depending on type system; for example, the type Stack might be implemented with two classes – SmallStack fast for small stacks, but scales poorly and ScalableStack scales well but high overhead for small stacks. Similarly, a given class may have several different constructors.","['casual', 'usage', 'people', 'refer', 'class', 'object', 'narrowly', 'speak', 'object', 'type', 'interface', 'type', 'member', 'variable', 'signature', 'member', 'function', 'method', 'property', 'satisfy', 'time', 'class', 'implementation', 'specifically', 'implementation', 'method', 'create', 'object', 'give', 'type', 'give', 'implementation', 'term', 'type', 'theory', 'class', 'implementation\u200d—\u200ca', 'concrete', 'data', 'structure', 'collection', 'subroutines\u200d—\u200cwhile', 'type', 'interface', 'different', 'concrete', 'class', 'produce', 'object', 'abstract', 'type', 'depend', 'type', 'system', 'example', 'type', 'stack', 'implement', 'class', 'smallstack', 'fast', 'small', 'stack', 'scale', 'poorly', 'scalablestack', 'scale', 'high', 'overhead', 'small', 'stack', 'similarly', 'give', 'class', 'different', 'constructor']"
4,"Class types generally represent nouns, such as a person, place or thing, or something nominalized, and a class represents an implementation of these. For example, a Banana type might represent the properties and functionality of bananas in general, while the ABCBanana and XYZBanana classes would represent ways of producing bananas say, banana suppliers or data structures and functions to represent and draw bananas in a video game. The ABCBanana class could then produce particular bananas: instances of the ABCBanana class would be objects of type Banana. Often only a single implementation of a type is given, in which case the class name is often identical with the type name.","['class', 'type', 'generally', 'represent', 'noun', 'person', 'place', 'thing', 'nominalize', 'class', 'represent', 'implementation', 'example', 'banana', 'type', 'represent', 'property', 'functionality', 'banana', 'general', 'abcbanana', 'xyzbanana', 'class', 'represent', 'way', 'produce', 'banana', 'banana', 'supplier', 'datum', 'structure', 'function', 'represent', 'draw', 'banana', 'video', 'game', 'abcbanana', 'class', 'produce', 'particular', 'banana', 'instance', 'abcbanana', 'class', 'object', 'type', 'banana', 'single', 'implementation', 'type', 'give', 'case', 'class', 'identical', 'type']"
5,"Classes are composed from structural and behavioral constituents.1 Programming languages that include classes as a programming construct offer support, for various class-related features, and the syntax required to use these features varies greatly from one programming language to another.","['class', 'compose', 'structural', 'behavioral', 'constituents', 'programming', 'language', 'include', 'class', 'programming', 'construct', 'offer', 'support', 'class', 'relate', 'feature', 'syntax', 'require', 'use', 'feature', 'vary', 'greatly', 'programming', 'language']"
6,"A class contains data field descriptions or properties, fields, data members, or attributes. These are usually field types and names that will be associated with state variables at program run time; these state variables either belong to the class or specific instances of the class. In most languages, the structure defined by the class determines the layout of the memory used by its instances. Other implementations are possible: for example, objects in Python use associative key-value containers.4","['class', 'contain', 'data', 'field', 'description', 'property', 'field', 'datum', 'member', 'attribute', 'usually', 'field', 'type', 'name', 'associate', 'state', 'variable', 'program', 'run', 'time', 'state', 'variable', 'belong', 'class', 'specific', 'instance', 'class', 'language', 'structure', 'define', 'class', 'determine', 'layout', 'memory', 'instance', 'implementation', 'possible', 'example', 'object', 'python', 'use', 'associative', 'key', 'value', 'containers']"
7,"Some programming languages such as Eiffel support specification of invariants as part of the definition of the class, and enforce them through the type system. Encapsulation of state is necessary for being able to enforce the invariants of the class.","['programming', 'language', 'eiffel', 'support', 'specification', 'invariant', 'definition', 'class', 'enforce', 'type', 'system', 'encapsulation', 'state', 'necessary', 'able', 'enforce', 'invariant', 'class']"
8,"The behavior of class or its instances is defined using methods. Methods are subroutines with the ability to operate on objects or classes. These operations may alter the state of an object or simply provide ways of accessing it.5 Many kinds of methods exist, but support for them varies across languages. Some types of methods are created and called by programmer code, while other special methods—such as constructors, destructors, and conversion operators—are created and called by compiler-generated code. A language may also allow the programmer to define and call these special methods.67","['behavior', 'class', 'instance', 'define', 'method', 'method', 'subroutine', 'ability', 'operate', 'object', 'class', 'operation', 'alter', 'state', 'object', 'simply', 'provide', 'way', 'access', 'it', 'kind', 'method', 'exist', 'support', 'vary', 'language', 'type', 'method', 'create', 'call', 'programmer', 'code', 'special', 'method', 'constructor', 'destructor', 'conversion', 'operator', 'create', 'call', 'compiler', 'generate', 'code', 'language', 'allow', 'programmer', 'define', 'special', 'methods']"
9,"Every class implements or realizes an interface by providing structure and behavior. Structure consists of data and state, and behavior consists of code that specifies how methods are implemented.8 There is a distinction between the definition of an interface and the implementation of that interface; however, this line is blurred in many programming languages because class declarations both define and implement an interface. Some languages, however, provide features that separate interface and implementation. For example, an abstract class can define an interface without providing implementation.","['class', 'implement', 'realize', 'interface', 'provide', 'structure', 'behavior', 'structure', 'consist', 'datum', 'state', 'behavior', 'consist', 'code', 'specify', 'method', 'implemented', 'distinction', 'definition', 'interface', 'implementation', 'interface', 'line', 'blur', 'programming', 'language', 'class', 'declaration', 'define', 'implement', 'interface', 'language', 'provide', 'feature', 'separate', 'interface', 'implementation', 'example', 'abstract', 'class', 'define', 'interface', 'provide', 'implementation']"
