,paragraph,split_paragraph
0,"In programming languages, an abstract type is a type in a nominative type system that cannot be instantiated directly; a type that is not abstract – which can be instantiated – is called a concrete type. Every instance of an abstract type is an instance of some concrete subtype. Abstract types are also known as existential types.1","['programming', 'language', 'abstract', 'type', 'type', 'nominative', 'type', 'system', 'instantiate', 'directly', 'type', 'abstract', 'instantiate', 'call', 'concrete', 'type', 'instance', 'abstract', 'type', 'instance', 'concrete', 'subtype', 'abstract', 'type', 'know', 'existential', 'types']"
1,"An abstract type may provide no implementation, or an incomplete implementation. In some languages, abstract types with no implementation rather than an incomplete implementation are known as protocols, interfaces, signatures, or class types. In class-based object-oriented programming, abstract types are implemented as abstract classes also known as abstract base classes, and concrete types as concrete classes. In generic programming, the analogous notion is a concept, which similarly specifies syntax and semantics, but does not require a subtype relationship: two unrelated types may satisfy the same concept.","['abstract', 'type', 'provide', 'implementation', 'incomplete', 'implementation', 'language', 'abstract', 'type', 'implementation', 'incomplete', 'implementation', 'know', 'protocol', 'interface', 'signature', 'class', 'type', 'class', 'base', 'object', 'orient', 'programming', 'abstract', 'type', 'implement', 'abstract', 'class', 'know', 'abstract', 'base', 'class', 'concrete', 'type', 'concrete', 'class', 'generic', 'programming', 'analogous', 'notion', 'concept', 'similarly', 'specify', 'syntax', 'semantic', 'require', 'subtype', 'relationship', 'unrelated', 'type', 'satisfy', 'concept']"
2,"Often, abstract types will have one or more implementations provided separately, for example, in the form of concrete subtypes that can be instantiated. In object-oriented programming, an abstract class may include abstract methods or abstract properties2 that are shared by its subclasses. Other names for language features that are or may be used to implement abstract types include traits, mixins, flavors, roles, or type classes.citation needed","['abstract', 'type', 'implementation', 'provide', 'separately', 'example', 'form', 'concrete', 'subtype', 'instantiate', 'object', 'orient', 'programming', 'abstract', 'class', 'include', 'abstract', 'method', 'abstract', 'properties2', 'share', 'subclass', 'name', 'language', 'feature', 'implement', 'abstract', 'type', 'include', 'trait', 'mixin', 'flavor', 'role', 'type', 'classes.citation', 'need']"
3,"Abstract classes can be created, signified, or simulated in several ways:","['abstract', 'class', 'create', 'signify', 'simulate', 'way']"
4,Abstract types are an important feature in statically typed OOP languages. Many dynamically typed languages have no equivalent feature although the use of duck typing makes abstract types unnecessary; however traits are found in some modern dynamically-typed languages.citation needed,"['abstract', 'type', 'important', 'feature', 'statically', 'type', 'oop', 'language', 'dynamically', 'type', 'language', 'equivalent', 'feature', 'use', 'duck', 'typing', 'make', 'abstract', 'type', 'unnecessary', 'trait', 'find', 'modern', 'dynamically', 'type', 'languages.citation', 'need']"
5,"Some authors argue that classes should be leaf classes have no subtypes, or else be abstract.45","['author', 'argue', 'class', 'leaf', 'class', 'subtype', 'abstract']"
6,Abstract types are useful in that they can be used to define and enforce a protocol; a set of operations that all objects implementing the protocol must support.citation needed,"['abstract', 'type', 'useful', 'define', 'enforce', 'protocol', 'set', 'operation', 'object', 'implement', 'protocol', 'support.citation', 'need']"
7,Abstract types are also an essential part of the Template Method Pattern.,"['abstract', 'type', 'essential', 'template', 'method', 'pattern']"
8,Pages for logged out editors learn more,"['page', 'log', 'editor', 'learn']"
9,"A method in object-oriented programming OOP is a procedure associated with a message and an object. An object consists of state data and behavior; these compose an interface, which specifies how the object may be utilized by any of its various consumers. A method is a behavior of an object parametrized by a consumer.","['method', 'object', 'orient', 'programming', 'oop', 'procedure', 'associate', 'message', 'object', 'object', 'consist', 'state', 'datum', 'behavior', 'compose', 'interface', 'specify', 'object', 'utilize', 'consumer', 'method', 'behavior', 'object', 'parametrize', 'consumer']"
10,"Data is represented as properties of the object, and behaviors are represented as methods. For example, a Window object could have methods such as open and close, while its state whether it is open or closed at any given point in time would be a property.","['datum', 'represent', 'property', 'object', 'behavior', 'represent', 'method', 'example', 'window', 'object', 'method', 'open', 'close', 'state', 'open', 'close', 'give', 'point', 'time', 'property']"
11,"In class-based programming, methods are defined within a class, and objects are instances of a given class. One of the most important capabilities that a method provides is method overriding - the same name e.g., area can be used for multiple different kinds of classes. This allows the sending objects to invoke behaviors and to delegate the implementation of those behaviors to the receiving object. A method in Java programming sets the behavior of a class object. For example, an object can send an area message to another object and the appropriate formula is invoked whether the receiving object is a rectangle, circle, triangle, etc.","['class', 'base', 'programming', 'method', 'define', 'class', 'object', 'instance', 'give', 'class', 'important', 'capability', 'method', 'provide', 'method', 'override', 'e.g.', 'area', 'multiple', 'different', 'kind', 'class', 'allow', 'send', 'object', 'invoke', 'behavior', 'delegate', 'implementation', 'behavior', 'receiving', 'object', 'method', 'java', 'programming', 'set', 'behavior', 'class', 'object', 'example', 'object', 'send', 'area', 'message', 'object', 'appropriate', 'formula', 'invoke', 'receiving', 'object', 'rectangle', 'circle', 'triangle', 'etc']"
12,Methods also provide the interface that other classes use to access and modify the properties of an object; this is known as encapsulation. Encapsulation and overriding are the two primary distinguishing features between methods and procedure calls.1,"['method', 'provide', 'interface', 'class', 'use', 'access', 'modify', 'property', 'object', 'know', 'encapsulation', 'encapsulation', 'override', 'primary', 'distinguish', 'feature', 'method', 'procedure', 'calls']"
13,"Method overriding and overloading are two of the most significant ways that a method differs from a conventional procedure or function call. Overriding refers to a subclass redefining the implementation of a method of its superclass. For example, findArea may be a method defined on a shape class,2 triangle, etc. would each define the appropriate formula to calculate their area. The idea is to look at objects as ""black boxes"" so that changes to the internals of the object can be made with minimal impact on the other objects that use it. This is known as encapsulation and is meant to make code easier to maintain and re-use.","['method', 'override', 'overloading', 'significant', 'way', 'method', 'differ', 'conventional', 'procedure', 'function', 'override', 'refer', 'subclass', 'redefine', 'implementation', 'method', 'superclass', 'example', 'findarea', 'method', 'define', 'shape', 'class', 'triangle', 'etc', 'define', 'appropriate', 'formula', 'calculate', 'area', 'idea', 'look', 'object', 'black', 'box', 'change', 'internal', 'object', 'minimal', 'impact', 'object', 'use', 'know', 'encapsulation', 'mean', 'code', 'easy', 'maintain', 'use']"
14,"Method overloading, on the other hand, refers to differentiating the code used to handle a message based on the parameters of the method. If one views the receiving object as the first parameter in any method then overriding is just a special case of overloading where the selection is based only on the first argument. The following simple Java example illustrates the difference:","['method', 'overloading', 'hand', 'refer', 'differentiate', 'code', 'handle', 'message', 'base', 'parameter', 'method', 'view', 'receiving', 'object', 'parameter', 'method', 'override', 'special', 'case', 'overload', 'selection', 'base', 'argument', 'follow', 'simple', 'java', 'example', 'illustrate', 'difference']"
